Região,UF,Heterossexual,Heterossexual %,Bissexual,Bissexual %,Gays e Lésbicas (homossexual),Gays e Lésbicas (homossexual) %,Outra orientação,Outra orientação %,Não sabe,Não sabe %,Recusou-se a responder,Recusou-se a responder %
Sul,PR,8.335.881,"94,7",62.869,"0,7",112.939,"1,3",7.925,"0,1",82.745,"0,9",197.009,"2,2"
Sul,RS,8.465.509,"94,8",67.685,"0,8",103.701,"1,2",3.734,0,69.853,"0,8",221.422,"2,5"
Sul,SC,5.325.140,"94,4",36.206,"0,6",56.708,1,2.821,0,48.832,"0,9",172.744,"3,1"
Sudeste,ES,2.953.094,"97,4",20.193,"0,7",22.554,"0,7",0,0,11.505,"0,4",24.315,"0,8"
Sudeste,MG,15.870.531,"95,7",76.002,"0,5",154.601,"0,9",8.028,0,137.066,"0,8",332.705,2
Sudeste,RJ,13.006.691,"94,8",127.663,"0,9",190.550,"1,4",4.380,0,57.522,"0,4",328.503,"2,4"
Sudeste,SP,33.679.737,94,287.111,"0,8",540.196,"1,5",19.104,"0,1",446.159,"1,2",850.283,"2,4"
Norte,AC,566.920,"95,8",4.336,"0,7",3.618,"0,6",0,0,3.630,"0,6",13.122,"2,2"
Norte,AM,2.500.961,"94,1",28.200,"1,1",31.847,"1,2",0,0,49.339,"1,9",48.010,"1,8"
Norte,AP,524.701,"94,1",6.281,"1,1",9.344,"1,7",0,0,9.395,"1,7",7.699,"1,4"
Norte,PA,5.501.327,"92,4",32.626,"0,5",80.544,"1,4",2.228,0,150.074,"2,5",188.484,"3,2"
Norte,RO,1.149.935,"91,6",9.199,"0,7",14.405,"1,1",1.037,"0,1",17.280,"1,4",63.491,"5,1"
Norte,RR,346.540,"96,6",2.711,"0,8",2.762,"0,8",0,0,2.818,"0,8",3.807,"1,1"
Norte,TO,1.076.866,"96,3",1.852,"0,2",4.798,"0,4",530,0,10.809,1,23.112,"2,1"
Nordeste,AL,2.321.574,"96,6",10.913,"0,5",32.642,"1,4",722,0,16.465,"0,7",20.088,"0,8"
Nordeste,BA,10.525.425,"94,4",93.808,"0,8",110.286,1,6.980,"0,1",115.919,1,302.189,"2,7"
Nordeste,CE,6.468.056,"94,5",33.802,"0,5",47.061,"0,7",6.024,"0,1",103.359,"1,5",183.290,"2,7"
Nordeste,MA,4.562.430,"94,1",23.530,"0,5",45.578,"0,9",0,0,87.245,"1,8",131.430,"2,7"
Nordeste,PB,2.890.622,"96,8",21.034,"0,7",22.521,"0,8",0,0,20.041,"0,7",33.470,"1,1"
Nordeste,PE,6.987.521,"98,4",29.545,"0,4",41.764,"0,6",11.058,"0,2",6.893,"0,1",22.440,"0,3"
Nordeste,PI,2.249.339,"91,9",14.141,"0,6",28.098,"1,1",3.210,"0,1",64.250,"2,6",89.466,"3,7"
Nordeste,RN,2.457.404,"93,8",20.958,"0,8",25.363,1,1.876,"0,1",33.650,"1,3",80.184,"3,1"
Nordeste,SE,1.639.579,"96,3",7.118,"0,4",17.735,1,233,0,6.040,"0,4",32.445,"1,9"
Centro-Oeste,DF,2.126.957,"92,2",22.689,1,43.123,"1,9",2.181,"0,1",31.763,"1,4",81.432,"3,5"
Centro-Oeste,GO,5.020.607,"95,7",17.542,"0,3",43.671,"0,8",3.181,"0,1",80.592,"1,5",79.698,"1,5"
Centro-Oeste,MS,1.835.492,"92,5",15.467,"0,8",24.559,"1,2",0,0,37.558,"1,9",71.029,"3,6"
Centro-Oeste,MT,2.433.020,"96,9",11.306,"0,5",24.609,1,4.666,"0,2",16.782,"0,7",19.715,"0,8"